Certificate of Inspection,Inspection Number,Date of Occurance,Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0156796,INS-000721903,03/04/2024,BA-1444218-2022,OURI'S MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,427,AVENUE U,,,,BROOKLYN,NY,11223,Brooklyn,315,44,3191789,3071060038,BK25,40.59753742,-73.96824351
A0156798,INS-000721906,03/04/2024,BA-1343468-2022,IAVARONE BROTHERS OF MASPETH INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,6900,GRAND AVE,,,,MASPETH,NY,11378,Queens,405,30,4062591,4027910001,QN30,40.72597723,-73.89522778
A0156814,INS-000719274,03/04/2024,BA-1564137-2022,"VILLAGE SUPER MARKET OF NY, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,44,44,0,Complete Address,1994,BRUCKNER BLVD,,,,BRONX,NY,10473,Bronx,209,18,2094838,2036730002,BX09,40.82582913,-73.85776349
A0156872,INS-000722055,03/04/2024,BA-1271321-2022,IL FORNAIO CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,2914,30TH AVE,,,,ASTORIA,NY,11102,Queens,401,22,4006920,4005767501,QN71,40.76770848,-73.92315501
A0156912,INS-000722167,03/05/2024,BA-1270928-2022,HILLSIDE HAAT BAZAAR INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,Complete Address,18106,HILLSIDE AVE,,,,JAMAICA,NY,11432,Queens,412,23,4212419,4099170043,QN61,40.713189,-73.78154982
A0156919,INS-000722179,03/05/2024,BA-1678119-2023,"CHRISTOPHER MINI MARKET, CORP.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,Complete Address,1539,WATSON AVE,,,,BRONX,NY,10472,Bronx,209,18,2023839,2037400001,BX55,40.8261403,-73.87779854
A0156926,INS-000722196,03/05/2024,BA-1203597-2022,CABA DELI GROCERY CORPORATION,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1419,E NEW YORK AVE,,,,BROOKLYN,NY,11212,Brooklyn,316,41,3039487,3014720025,BK79,40.67023947,-73.91556736
A0156990,INS-000722314,03/05/2024,BA-1678130-2023,BEYOND DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,185,NORMAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065857,3026250027,BK76,40.72706113,-73.94684456
A0156992,INS-000722317,03/05/2024,BA-1470020-2022,NEW WAY DELI & GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,3502,103RD ST,,,,CORONA,NY,11368,Queens,403,21,4043311,4017430008,QN26,40.75450773,-73.86504437
A0157013,INS-000719488,03/05/2024,BA-1682112-2024,OH WOW CLEANERS,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,9814,NORTHERN BLVD,,,,CORONA,NY,11368,Queens,403,21,4042445,4017130008,QN26,40.75714859,-73.87018262
A0157048,INS-000721567,03/05/2024,BA-1456435-2022,PROSPECT LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,341,OCEAN AVE,,,,BROOKLYN,NY,11226,Brooklyn,314,40,3425670,3050540004,BK42,40.65457221,-73.96182287
A0157105,INS-000722484,03/05/2024,BA-1687795-2024,J.M.L DELI. CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,297,THOMAS S BOYLAND ST,,,,BROOKLYN,NY,11233,Brooklyn,316,41,3039104,3014540013,BK79,40.67399585,-73.91392231
A0156534,INS-000721398,03/01/2024,BA-1113194-2022,1271 D & G CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1271,RALPH AVE,,,,BROOKLYN,NY,11236,Brooklyn,317,42,3221654,3079080001,BK96,40.64544628,-73.92000942
A0156537,INS-000721402,03/01/2024,BA-1679549-2023,OCEAN AVE DELI OF STATEN ISLAND INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,112,OCEAN AVE,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5045942,5031200067,SI14,40.59572109,-74.0632232
A0156539,INS-000721406,03/01/2024,BA-1346159-2022,GOOD TIMES DELI & GRILL CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,857,GREENE AVE,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3043787,3016150046,BK35,40.69038442,-73.93398259
A0157166,INS-000722583,03/06/2024,BA-1040866-2022,130-10 FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,Complete Address,13010,METROPOLITAN AVE,,,,RICHMOND HILL,NY,11418,Queens,409,29,4193983,4092820002,QN54,40.7035947,-73.82224631
A0157166,INS-000722583,03/06/2024,BA-1040866-2022,130-10 FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,2,2,0,Complete Address,13010,METROPOLITAN AVE,,,,RICHMOND HILL,NY,11418,Queens,409,29,4193983,4092820002,QN54,40.7035947,-73.82224631
A0157166,INS-000722583,03/06/2024,BA-1040866-2022,130-10 FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,11,11,0,Complete Address,13010,METROPOLITAN AVE,,,,RICHMOND HILL,NY,11418,Queens,409,29,4193983,4092820002,QN54,40.7035947,-73.82224631
A0157208,INS-000722648,03/06/2024,BA-1122848-2022,BIG BOYZ DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,9104,FLATLANDS AVE,,,,BROOKLYN,NY,11236,Brooklyn,318,46,3229932,3081990040,BK50,40.64078802,-73.90509393
A0157237,INS-000722690,03/06/2024,BA-1632244-2023,LELE HIGHCLASS HEALTHY PRODUCTS USA INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,41-13,KISSENA BOULEVARD,,,,FLUSHING,NY,11355,Queens,407,20,4309526,4050447501,QN22,40.75826974,-73.82911388
A0157269,INS-000722746,03/06/2024,BA-1238530-2022,CORONA FLOWERS INC.,CORONA DELI GROCERY,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,10414,CORONA AVE,,,,CORONA,NY,11368,Queens,404,21,4047594,4019350001,QN25,40.74398157,-73.85815837
A0157280,INS-000722763,03/06/2024,BA-968582-2022,"BOGOPA-JUNIUS, INC.",FOOD BAZAAR,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,417,JUNIUS ST,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3084597,3037980025,BK81,40.66441495,-73.9016288
A0157280,INS-000722763,03/06/2024,BA-968582-2022,"BOGOPA-JUNIUS, INC.",FOOD BAZAAR,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,417,JUNIUS ST,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3084597,3037980025,BK81,40.66441495,-73.9016288
A0157280,INS-000722763,03/06/2024,BA-968582-2022,"BOGOPA-JUNIUS, INC.",FOOD BAZAAR,Supermarket - 819,Scale,Scale,Scale Inspection,Misc Scale - 01,14,14,0,Complete Address,417,JUNIUS ST,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3084597,3037980025,BK81,40.66441495,-73.9016288
A0157280,INS-000722763,03/06/2024,BA-968582-2022,"BOGOPA-JUNIUS, INC.",FOOD BAZAAR,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,Complete Address,417,JUNIUS ST,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3084597,3037980025,BK81,40.66441495,-73.9016288
A0157296,INS-000722792,03/06/2024,BA-1562430-2022,WASHRITE CORPORATION MASPETH,WASHRITE LAUNDROMAT,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,7350,GRAND AVE,,,,MASPETH,NY,11378,Queens,405,30,4062869,4028030015,QN30,40.72997554,-73.8885213
A0157341,INS-000722861,03/06/2024,BA-1541583-2022,ZHANG'S LAUNDROMAT INC,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,12216,SUTPHIN BLVD,,,,JAMAICA,NY,11434,Queens,412,28,4261522,4120450014,QN76,40.6764999,-73.79058564
A0157359,INS-000722886,03/06/2024,BA-1080902-2022,118-07 ALEXANDER DELI GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,11807,SUTPHIN BLVD,,,,JAMAICA,NY,11434,Queens,412,28,4264965,4122050003,QN76,40.67966414,-73.79182676
A0156547,INS-000721422,03/01/2024,BA-1652740-2023,PJ 37 FOOD CORP,CTOWN SUPERMARKETS,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,8508,37TH AVE,,,,JACKSON HTS,NY,11372,Queens,403,21,4036240,4014730001,QN28,40.75005445,-73.88132351
A0157426,INS-000723013,03/07/2024,BA-1676388-2023,BABA SHAWARMA CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,714,CASTLETON AVE,,,,STATEN ISLAND,NY,10310,Staten Island,501,49,5003447,5001340049,SI35,40.6346901,-74.10630786
A0157563,INS-000723291,03/08/2024,BA-1022555-2022,AFFIA MEAT & GROCERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,Complete Address,326,EMPIRE BLVD,,,,BROOKLYN,NY,11225,Brooklyn,309,40,3034801,3013150038,BK60,40.66385399,-73.95168531
A0157583,INS-000723328,03/08/2024,BA-1670006-2023,ELMHURST SUPERMARKET INC.,SF SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,4510,83RD ST,,,,ELMHURST,NY,11373,Queens,404,25,4576571,4015367503,QN50,40.74141711,-73.88169976
A0157583,INS-000723328,03/08/2024,BA-1670006-2023,ELMHURST SUPERMARKET INC.,SF SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,4510,83RD ST,,,,ELMHURST,NY,11373,Queens,404,25,4576571,4015367503,QN50,40.74141711,-73.88169976
A0157583,INS-000723328,03/08/2024,BA-1670006-2023,ELMHURST SUPERMARKET INC.,SF SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,9,9,0,Complete Address,4510,83RD ST,,,,ELMHURST,NY,11373,Queens,404,25,4576571,4015367503,QN50,40.74141711,-73.88169976
A0157584,INS-000710522,03/08/2024,BA-1453747-2022,NSR FOOD DISTRIBUTORS INC,SCOTTY’S MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,1,Complete Address,240,PAGE AVE,,,,STATEN ISLAND,NY,10307,Staten Island,503,51,5141719,5080080134,SI11,40.5180131,-74.23445767
A0157584,INS-000710522,03/08/2024,BA-1453747-2022,NSR FOOD DISTRIBUTORS INC,SCOTTY’S MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,240,PAGE AVE,,,,STATEN ISLAND,NY,10307,Staten Island,503,51,5141719,5080080134,SI11,40.5180131,-74.23445767
A0157584,INS-000710522,03/08/2024,BA-1453747-2022,NSR FOOD DISTRIBUTORS INC,SCOTTY’S MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,4,4,0,Complete Address,240,PAGE AVE,,,,STATEN ISLAND,NY,10307,Staten Island,503,51,5141719,5080080134,SI11,40.5180131,-74.23445767
A0157635,INS-000723406,03/08/2024,BA-1050134-2022,"42-15 81ST GROCERY & DELI, INC",PRODUCTS MEXICANOS EL CILANTRO,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,4264,81ST ST,,,,ELMHURST,NY,11373,Queens,404,25,4038026,4015260043,QN29,40.74216603,-73.88401163
A0157651,INS-000723430,03/08/2024,BA-1560143-2022,TOP LINE MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,Complete Address,8137,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4307385,4015097501,QN29,40.7429912,-73.88302139
A0157651,INS-000723430,03/08/2024,BA-1560143-2022,TOP LINE MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,8137,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4307385,4015097501,QN29,40.7429912,-73.88302139
A0157651,INS-000723430,03/08/2024,BA-1560143-2022,TOP LINE MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,Complete Address,8137,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4307385,4015097501,QN29,40.7429912,-73.88302139
A0157681,INS-000723471,03/08/2024,BA-1688119-2024,KONIKA FOOD INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,8128,BROADWAY,,,,ELMHURST,NY,11373,Queens,404,25,4038194,4015277502,QN29,40.74321402,-73.8835154
A0157712,INS-000723541,03/11/2024,BA-1688233-2024,WHOLESOME FOODS MARKET,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,Complete Address,1306,ATLANTIC AVE,,,,BROOKLYN,NY,11216,Brooklyn,308,36,3029786,3012010004,BK61,40.67843322,-73.94930247
A0157714,INS-000723545,03/11/2024,BA-1427303-2022,NEW NICE LAUNDROMAT INC,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,10315,GLENWOOD RD,,,,BROOKLYN,NY,11236,Brooklyn,318,42,3229459,3081720001,BK50,40.64828028,-73.8975228
A0157721,INS-000723556,03/11/2024,BA-1556414-2022,WHOLE GREEN MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Platform Scale - 01,2,2,0,Complete Address,9201,63RD DR,,,,REGO PARK,NY,11374,Queens,406,30,4072456,4030940042,QN18,40.7274817,-73.86404558
A0157757,INS-000723612,03/11/2024,BA-1554591-2022,W.U.L. CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,788,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065328,3025970006,BK76,40.72754685,-73.95292717
A0157764,INS-000723622,03/11/2024,BA-1223348-2022,"COVERT SUPERMARKET, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,1657,BROADWAY,,,,BROOKLYN,NY,11207,Brooklyn,304,37,3400943,3034200001,BK78,40.68461778,-73.91345789
A0157764,INS-000723622,03/11/2024,BA-1223348-2022,"COVERT SUPERMARKET, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,Complete Address,1657,BROADWAY,,,,BROOKLYN,NY,11207,Brooklyn,304,37,3400943,3034200001,BK78,40.68461778,-73.91345789
A0157797,INS-000723673,03/11/2024,BA-1196499-2022,FIREHOUSE DELI AND GRILL INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,177,WILSON AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3073551,3032350001,BK77,40.69969671,-73.92393666
A0157813,INS-000723701,03/11/2024,BA-1618239-2023,KARZINKA US INC.,SAMAKARA FRUITS & VEGETABLES,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,Complete Address,6446,108TH ST,,,,FOREST HILLS,NY,11375,Queens,406,29,4051447,4021500030,QN17,40.73205514,-73.84915967
A0157813,INS-000723701,03/11/2024,BA-1618239-2023,KARZINKA US INC.,SAMAKARA FRUITS & VEGETABLES,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,6446,108TH ST,,,,FOREST HILLS,NY,11375,Queens,406,29,4051447,4021500030,QN17,40.73205514,-73.84915967
A0157813,INS-000723701,03/11/2024,BA-1618239-2023,KARZINKA US INC.,SAMAKARA FRUITS & VEGETABLES,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,Complete Address,6446,108TH ST,,,,FOREST HILLS,NY,11375,Queens,406,29,4051447,4021500030,QN17,40.73205514,-73.84915967
A0157856,INS-000723771,03/11/2024,BA-1095829-2022,229 KNICKERBOCKER MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,229,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,34,3072538,3031870001,BK77,40.70301631,-73.92573618
A0157856,INS-000723771,03/11/2024,BA-1095829-2022,229 KNICKERBOCKER MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,229,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,34,3072538,3031870001,BK77,40.70301631,-73.92573618
A0157914,INS-000723857,03/11/2024,BA-1487336-2022,SARILING ATIN INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,8912,QUEENS BLVD,,,,ELMHURST,NY,11373,Queens,404,30,4312057,4028550016,,40.73462689,-73.87422453
A0157544,INS-000723260,03/08/2024,BA-1488391-2022,STERLING DELI AND GROCERY 1 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1031,NOSTRAND AVE,,,,BROOKLYN,NY,11225,Brooklyn,309,40,3034833,3013160001,BK60,40.66324432,-73.95089277
A0157552,INS-000723274,03/08/2024,BA-1336501-2022,HOLLIS AVE FAMILY DELI GROCERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,19821,HOLLIS AVE,,,,SAINT ALBANS,NY,11412,Queens,412,27,4233163,4108980013,QN07,40.70638149,-73.75929287
A0157973,INS-000723975,03/12/2024,BA-1471684-2022,SANON ENTERPRISE INC.,ROSEDALE LAUNDROMAT,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,14514,243RD ST,,,,ROSEDALE,NY,11422,Queens,413,31,4287953,4135470008,QN05,40.65937371,-73.74008233
A0157623,INS-000723390,03/08/2024,BA-1176244-2022,Fahman Famous Deli Inc,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,16310,89 AVENUE,,,,JAMAICA,NY,11432,Queens,412,27,4540151,4097937501,QN61,40.70709822,-73.79800979
A0158066,INS-000724139,03/12/2024,BA-1688400-2024,147 DELI & GRILL CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,23520,147TH AVE,,,,JAMAICA,NY,11422,Queens,413,31,4291502,4137280001,QN03,40.65742442,-73.74600796
A0158069,INS-000724144,03/12/2024,BA-1688401-2024,D&S CLEANING CORP.,PLAZA LAUNDROMAT,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,14505,243RD ST,,,,ROSEDALE,NY,11422,Queens,413,31,4288396,4135680032,QN05,40.65953806,-73.73993031
